19480101,0.47,51,42,1
19480102,0.59,45,36,1
19480103,0.42,45,35,1
19480104,0.31,45,34,1
19480105,0.17,45,32,1
19480106,0.44,48,39,1
19480107,0.41,50,40,1
19480108,0.04,48,35,1
19480109,0.12,50,31,1
19480110,0.74,43,34,1
19480111,0.01,42,32,1
19480112,0,41,26,0
19480113,0,45,29,0
19480114,0,38,26,0
19480115,0,34,31,0
19480116,0,34,28,0
19480117,0,35,29,0
19480118,0,33,28,0
19480119,0,34,27,0
19480120,0,36,29,0
19480121,0,48,32,0
19480122,0.21,47,44,1
19480123,0,47,43,0
19480124,0.1,45,34,1
19480125,0,46,30,0
19480126,0,45,32,0
19480127,0,53,33,0
19480128,0,53,25,0
19480129,0.22,42,34,1
19480130,0.03,47,30,1
19480131,0.21,35,27,1
19480201,0.03,39,30,1
19480202,0,43,26,0
19480203,0.2,38,26,1
19480204,0.14,39,31,1
19480205,0,36,26,0
19480206,0,43,20,0
19480207,0.06,43,27,1
19480208,0.56,44,35,1
19480209,0,45,32,0
19480210,0,39,27,0
19480211,0,46,23,0
19480212,0,43,26,0
19480213,0,47,35,0
19480214,0.5,46,39,1
19480215,0.35,45,37,1
19480216,0.84,52,37,1
19480217,0.13,57,46,1
19480218,0.01,49,32,1
19480219,0,45,30,0
19480220,0.74,45,35,1
19480221,0.46,49,37,1
19480222,0.11,47,38,1
19480223,0,47,36,0
19480224,0.05,44,36,1
19480225,0.98,47,41,1
19480226,0.09,49,37,1
19480227,0,47,35,0
19480228,0,50,32,0
19480229,0,46,34,0
19480301,0.19,47,32,1
19480302,0,50,31,0
19480303,0,52,28,0
19480304,0,57,31,0
19480305,0,47,40,0
19480306,0.06,47,41,1
19480307,0.16,42,34,1
19480308,0.11,42,33,1
19480309,0,47,33,0
19480310,0,51,31,0
19480311,0.08,51,31,1
19480312,0.06,60,37,1
19480313,0.02,54,35,1
19480314,0,52,34,0
19480315,0,52,36,0
19480316,0,50,33,0
19480317,0.01,50,36,1
19480318,0.13,48,35,1
19480319,0,47,33,0
19480320,0.06,44,33,1
19480321,2.04,46,37,1
19480322,0.03,44,30,1
19480323,0,54,31,0
19480324,0.4,54,36,1
19480325,0.33,50,35,1
19480326,0,56,36,0
19480327,0,70,38,0
19480328,0,64,39,0
19480329,0,49,39,0
19480330,0,54,38,0
19480331,0,53,40,0
19480401,0.17,46,37,1
19480402,0.34,45,33,1
19480403,0.03,47,32,1
19480404,0.19,49,31,1
19480405,0.08,51,32,1
19480406,0.09,44,34,1
19480407,0,55,30,0
19480408,0.11,59,32,1
19480409,0.54,50,39,1
19480410,0.18,53,38,1
19480411,0,51,38,0
19480412,0.03,50,39,1
19480413,0.01,59,39,1
19480414,0,63,42,0
19480415,0.33,65,47,1
19480416,0,62,43,0
19480417,0.37,54,44,1
19480418,0,58,41,0
19480419,0,61,37,0
19480420,0,66,39,0
19480421,0.09,55,44,1
19480422,0.24,57,43,1
19480423,0.02,55,42,1
19480424,0.7,46,40,1
19480425,0.02,49,34,1
19480426,0,50,32,0
19480427,0,53,31,0
19480428,0.05,45,38,1
19480429,0,54,33,0
19480430,0.16,56,35,1
19480501,0.01,58,38,1
19480502,0.08,57,35,1
19480503,0.59,53,42,1
19480504,0,57,42,0
19480505,0.56,55,45,1
19480506,0.27,58,42,1
19480507,0,59,40,0
19480508,0.02,54,42,1
19480509,0,52,41,0
19480510,0.26,57,43,1
19480511,0,63,44,0
19480512,0.39,56,42,1
19480513,0.14,55,43,1
19480514,0.03,58,43,1
19480515,0,64,43,0
19480516,0.29,60,47,1
19480517,0,62,43,0
19480518,0.01,60,45,1
19480519,0.1,60,40,1
19480520,0,73,44,0
19480521,0,62,47,0
19480522,0,65,48,0
19480523,0,66,50,0
19480524,0,80,51,0
19480525,0,73,51,0
19480526,0,69,48,0
19480527,0.83,60,50,1
19480528,0.88,53,48,1
19480529,0.3,58,48,1
19480530,0,69,44,0
19480531,0,77,46,0
19480601,0,71,46,0
19480602,0,76,49,0
19480603,0.01,67,52,1
19480604,0,70,49,0
19480605,0,75,48,0
19480606,0,82,53,0
19480607,0,87,59,0
19480608,0,87,60,0
19480609,0,81,57,0
19480610,0,76,55,0
19480611,0.92,60,53,1
19480612,0.18,68,50,1
19480613,0.11,68,51,1
19480614,0,72,50,0
19480615,0,71,50,0
19480616,0.09,60,52,1
19480617,0.01,66,51,1
19480618,0,71,50,0
19480619,0,68,52,0
19480620,0.76,60,52,1
19480621,0.01,63,50,1
19480622,0,62,49,0
19480623,0,70,47,0
19480624,0,64,50,0
19480625,0,64,48,0
19480626,0,74,50,0
19480627,0,79,52,0
19480628,0,82,57,0
19480629,0,83,56,0
19480630,0,74,53,0
19480701,0,69,45,0
19480702,0,70,44,0
19480703,0,77,47,0
19480704,0.24,66,49,1
19480705,0.27,67,50,1
19480706,0.44,71,51,1
19480707,0.09,66,51,1
19480708,0,71,48,0
19480709,0,78,51,0
19480710,0,73,55,0
19480711,0,71,54,0
19480712,0,72,50,0
19480713,0,76,50,0
19480714,0,77,51,0
19480715,0,82,51,0
19480716,0,80,55,0
19480717,0,82,55,0
19480718,0.05,61,54,1
19480719,0.09,64,55,1
19480720,0,67,54,0
19480721,0,74,55,0
19480722,0,71,53,0
19480723,0.01,71,53,1
19480724,0,72,49,0
19480725,0,79,48,0
19480726,0.34,80,52,1
19480727,0,67,51,0
19480728,0,71,53,0
19480729,0,74,51,0
19480730,0,80,57,0
19480731,0,88,57,0
19480801,0,75,54,0
19480802,0,68,55,0
19480803,0.01,68,55,1
19480804,0,64,50,0
19480805,0.36,63,49,1
19480806,0,70,51,0
19480807,0,70,48,0
19480808,0,75,51,0
19480809,0,71,55,0
19480810,0,69,54,0
19480811,0,64,53,0
19480812,0,74,56,0
19480813,0.06,65,53,1
19480814,0,68,49,0
19480815,0.41,68,53,1
19480816,0.05,70,54,1
19480817,0.07,74,55,1
19480818,0,73,55,0
19480819,0,68,52,0
19480820,0.01,64,52,1
19480821,0.11,65,55,1
19480822,0.01,70,54,1
19480823,0.11,69,50,1
19480824,0.34,62,53,1
19480825,0,72,55,0
19480826,0.01,72,52,1
19480827,0.24,61,53,1
19480828,0,80,55,0
19480829,0.05,75,57,1
19480830,0.03,70,54,1
19480831,0,73,51,0
19480901,0,74,50,0
19480902,0.08,69,52,1
19480903,0.05,70,51,1
19480904,0,68,50,0
19480905,0,70,45,0
19480906,0,70,45,0
19480907,0,73,50,0
19480908,0,78,56,0
19480909,0,81,57,0
19480910,0,81,55,0
19480911,0,76,54,0
